Date,ATATP.IS
2021-06-09,35.119998931884766
2021-06-10,31.6200008392334
2021-06-11,29.399999618530273
2021-06-14,29.239999771118164
2021-06-15,28.299999237060547
2021-06-16,26.200000762939453
2021-06-17,25.15999984741211
2021-06-18,23.799999237060547
2021-06-21,24.200000762939453
2021-06-22,23.799999237060547
2021-06-23,24.059999465942383
2021-06-24,24.200000762939453
2021-06-25,24.0
2021-06-28,26.399999618530273
2021-06-29,24.940000534057617
2021-06-30,24.479999542236328
2021-07-01,24.579999923706055
2021-07-02,24.440000534057617
2021-07-05,26.059999465942383
2021-07-06,26.360000610351562
2021-07-07,27.040000915527344
2021-07-08,27.799999237060547
2021-07-09,28.299999237060547
2021-07-12,27.579999923706055
2021-07-13,27.600000381469727
2021-07-14,28.100000381469727
2021-07-16,30.899999618530273
2021-07-19,31.299999237060547
2021-07-26,31.799999237060547
2021-07-27,32.0
2021-07-28,33.099998474121094
2021-07-29,33.5
2021-07-30,33.040000915527344
2021-08-02,33.58000183105469
2021-08-03,34.040000915527344
2021-08-04,34.0
2021-08-05,33.2599983215332
2021-08-06,32.68000030517578
2021-08-09,32.380001068115234
2021-08-10,33.619998931884766
2021-08-11,32.7599983215332
2021-08-12,33.15999984741211
2021-08-13,33.5
2021-08-16,33.79999923706055
2021-08-17,33.47999954223633
2021-08-18,32.0
2021-08-19,32.18000030517578
2021-08-20,33.68000030517578
2021-08-23,37.040000915527344
2021-08-24,38.08000183105469
2021-08-25,36.540000915527344
2021-08-26,35.02000045776367
2021-08-27,34.81999969482422
2021-08-31,34.900001525878906
2021-09-01,35.20000076293945
2021-09-02,34.720001220703125
2021-09-03,34.52000045776367
2021-09-06,34.20000076293945
2021-09-07,33.58000183105469
2021-09-08,32.880001068115234
2021-09-09,33.400001525878906
2021-09-10,32.81999969482422
2021-09-13,32.959999084472656
2021-09-14,35.20000076293945
2021-09-15,35.0
2021-09-16,37.31999969482422
2021-09-17,37.459999084472656
2021-09-20,35.400001525878906
2021-09-21,35.70000076293945
2021-09-22,35.41999816894531
2021-09-23,34.70000076293945
2021-09-24,34.08000183105469
2021-09-27,35.79999923706055
2021-09-28,38.20000076293945
2021-09-29,38.20000076293945
2021-09-30,37.400001525878906
2021-10-01,36.959999084472656
2021-10-04,36.18000030517578
2021-10-05,35.41999816894531
2021-10-06,34.5
2021-10-07,34.939998626708984
2021-10-08,34.34000015258789
2021-10-11,33.900001525878906
2021-10-12,34.2400016784668
2021-10-13,34.29999923706055
2021-10-14,34.5
2021-10-15,35.29999923706055
2021-10-18,35.20000076293945
2021-10-19,36.20000076293945
2021-10-20,35.880001068115234
2021-10-21,35.060001373291016
2021-10-22,35.18000030517578
2021-10-25,35.70000076293945
2021-10-26,36.0
2021-10-27,39.599998474121094
2021-10-28,43.560001373291016
2021-11-01,47.900001525878906
2021-11-02,50.599998474121094
2021-11-03,47.720001220703125
2021-11-04,47.79999923706055
2021-11-05,45.900001525878906
2021-11-08,47.099998474121094
2021-11-09,48.08000183105469
2021-11-10,48.20000076293945
2021-11-11,53.0
2021-11-12,51.0
2021-11-15,49.81999969482422
2021-11-16,50.0
2021-11-17,48.540000915527344
2021-11-18,49.279998779296875
2021-11-19,51.75
2021-11-22,56.900001525878906
2021-11-23,62.54999923706055
2021-11-24,68.80000305175781
2021-11-25,65.3499984741211
2021-11-26,66.80000305175781
2021-11-29,69.44999694824219
2021-11-30,66.5
2021-12-01,63.25
2021-12-02,62.95000076293945
2021-12-03,63.400001525878906
2021-12-06,60.45000076293945
2021-12-07,57.79999923706055
2021-12-08,63.54999923706055
2021-12-09,63.099998474121094
2021-12-10,65.0
2021-12-13,62.0
2021-12-14,60.04999923706055
2021-12-15,61.650001525878906
2021-12-16,61.349998474121094
2021-12-17,58.20000076293945
2021-12-20,53.0
2021-12-21,55.0
2021-12-22,54.25
2021-12-23,54.349998474121094
2021-12-24,54.599998474121094
2021-12-27,55.29999923706055
2021-12-28,60.599998474121094
2021-12-29,58.75
2021-12-30,58.20000076293945
2021-12-31,60.25
2022-01-03,61.0
2022-01-04,59.400001525878906
2022-01-05,59.0
2022-01-06,60.5
2022-01-07,63.45000076293945
2022-01-10,69.75
2022-01-11,71.4000015258789
2022-01-12,71.9000015258789
2022-01-13,72.5999984741211
2022-01-14,73.1500015258789
2022-01-17,80.44999694824219
2022-01-18,80.0
2022-01-19,80.6500015258789
2022-01-20,78.44999694824219
2022-01-21,82.75
2022-01-24,79.6500015258789
2022-01-25,80.80000305175781
2022-01-26,75.69999694824219
2022-01-27,74.19999694824219
2022-01-28,77.30000305175781
2022-01-31,72.5
2022-02-01,67.5
2022-02-02,74.25
2022-02-03,75.4000015258789
2022-02-04,74.19999694824219
2022-02-07,71.30000305175781
2022-02-08,72.30000305175781
2022-02-09,72.0
2022-02-10,71.44999694824219
2022-02-11,73.0999984741211
2022-02-14,72.0999984741211
2022-02-15,71.0
2022-02-16,70.25
2022-02-17,68.6500015258789
2022-02-18,71.5999984741211
2022-02-21,69.5
2022-02-22,70.25
2022-02-23,72.0
2022-02-24,64.80000305175781
2022-02-25,69.4000015258789
2022-02-28,66.5
2022-03-01,64.44999694824219
2022-03-02,65.5
2022-03-03,65.69999694824219
2022-03-04,70.5
2022-03-07,72.0
2022-03-08,70.4000015258789
2022-03-09,70.0
2022-03-10,71.44999694824219
2022-03-11,70.0999984741211
2022-03-14,70.0999984741211
2022-03-15,69.0
2022-03-16,67.9000015258789
2022-03-17,68.30000305175781
2022-03-18,71.0
2022-03-21,71.19999694824219
2022-03-22,70.30000305175781
2022-03-23,68.69999694824219
2022-03-24,68.5
2022-03-25,68.4000015258789
2022-03-28,68.25
2022-03-29,68.5
2022-03-30,69.0
2022-03-31,69.8499984741211
2022-04-01,70.19999694824219
2022-04-04,71.30000305175781
2022-04-05,69.5999984741211
2022-04-06,67.75
2022-04-07,67.5999984741211
2022-04-08,67.5
2022-04-11,65.44999694824219
2022-04-12,65.9000015258789
2022-04-13,64.80000305175781
2022-04-14,62.70000076293945
2022-04-15,65.4000015258789
2022-04-18,65.0
2022-04-19,66.0
2022-04-20,65.0999984741211
2022-04-21,64.5999984741211
2022-04-22,63.0
2022-04-25,61.20000076293945
2022-04-26,58.79999923706055
2022-04-27,59.04999923706055
2022-04-28,60.29999923706055
2022-04-29,60.349998474121094
2022-05-05,61.099998474121094
2022-05-06,59.75
2022-05-09,60.29999923706055
2022-05-10,62.04999923706055
2022-05-11,60.79999923706055
2022-05-12,66.8499984741211
2022-05-13,70.0
2022-05-16,67.69999694824219
2022-05-17,63.0
2022-05-18,61.54999923706055
2022-05-20,60.25
2022-05-23,60.95000076293945
2022-05-24,60.79999923706055
2022-05-25,61.25
2022-05-26,61.5
2022-05-27,62.0
2022-05-30,62.20000076293945
2022-05-31,63.79999923706055
2022-06-01,62.29999923706055
2022-06-02,61.849998474121094
2022-06-03,60.75
2022-06-06,60.150001525878906
2022-06-07,60.400001525878906
2022-06-08,57.099998474121094
2022-06-09,59.70000076293945
2022-06-10,59.45000076293945
2022-06-13,58.70000076293945
2022-06-14,59.400001525878906
2022-06-15,60.54999923706055
2022-06-16,60.70000076293945
2022-06-17,60.400001525878906
2022-06-20,59.75
2022-06-21,59.349998474121094
2022-06-22,59.20000076293945
2022-06-23,59.25
2022-06-24,59.150001525878906
2022-06-27,58.599998474121094
2022-06-28,57.5
2022-06-29,56.95000076293945
2022-06-30,56.0
2022-07-01,56.150001525878906
2022-07-04,57.650001525878906
2022-07-05,55.54999923706055
2022-07-06,55.54999923706055
2022-07-07,57.150001525878906
2022-07-08,58.04999923706055
2022-07-13,56.150001525878906
2022-07-14,56.099998474121094
2022-07-18,55.25
2022-07-19,55.099998474121094
2022-07-20,54.70000076293945
2022-07-21,54.20000076293945
2022-07-22,54.400001525878906
2022-07-25,55.150001525878906
2022-07-26,54.20000076293945
2022-07-27,54.04999923706055
2022-07-28,54.04999923706055
2022-07-29,54.099998474121094
