Date,KLKIM.IS
2021-05-18,15.380000114440918
2021-05-20,14.699999809265137
2021-05-21,14.75
2021-05-24,14.579999923706055
2021-05-25,13.869999885559082
2021-05-26,13.369999885559082
2021-05-27,13.430000305175781
2021-05-28,13.270000457763672
2021-05-31,12.770000457763672
2021-06-01,12.90999984741211
2021-06-02,12.699999809265137
2021-06-03,12.5
2021-06-04,12.430000305175781
2021-06-07,12.460000038146973
2021-06-08,12.829999923706055
2021-06-09,12.9399995803833
2021-06-10,12.899999618530273
2021-06-11,12.890000343322754
2021-06-14,12.649999618530273
2021-06-15,12.430000305175781
2021-06-16,12.430000305175781
2021-06-17,12.239999771118164
2021-06-18,12.09000015258789
2021-06-21,11.859999656677246
2021-06-22,11.829999923706055
2021-06-23,11.800000190734863
2021-06-24,11.819999694824219
2021-06-25,11.800000190734863
2021-06-28,11.399999618530273
2021-06-29,11.199999809265137
2021-06-30,11.119999885559082
2021-07-01,11.489999771118164
2021-07-02,11.65999984741211
2021-07-05,11.930000305175781
2021-07-06,12.079999923706055
2021-07-07,12.300000190734863
2021-07-08,12.289999961853027
2021-07-09,12.380000114440918
2021-07-12,11.960000038146973
2021-07-13,11.670000076293945
2021-07-14,11.729999542236328
2021-07-16,11.880000114440918
2021-07-19,11.960000038146973
2021-07-26,11.920000076293945
2021-07-27,11.8100004196167
2021-07-28,11.8100004196167
2021-07-29,12.649999618530273
2021-07-30,12.510000228881836
2021-08-02,12.569999694824219
2021-08-03,12.550000190734863
2021-08-04,12.59000015258789
2021-08-05,12.75
2021-08-06,12.59000015258789
2021-08-09,12.6899995803833
2021-08-10,12.789999961853027
2021-08-11,14.0600004196167
2021-08-12,13.350000381469727
2021-08-13,13.149999618530273
2021-08-16,13.0
2021-08-17,12.979999542236328
2021-08-18,12.75
2021-08-19,12.609999656677246
2021-08-20,12.760000228881836
2021-08-23,13.260000228881836
2021-08-24,12.859999656677246
2021-08-25,12.640000343322754
2021-08-26,12.449999809265137
2021-08-27,12.420000076293945
2021-08-31,12.529999732971191
2021-09-01,12.510000228881836
2021-09-02,12.529999732971191
2021-09-03,12.619999885559082
2021-09-06,12.6899995803833
2021-09-07,12.479999542236328
2021-09-08,12.119999885559082
2021-09-09,12.210000038146973
2021-09-10,12.100000381469727
2021-09-13,12.210000038146973
2021-09-14,12.180000305175781
2021-09-15,12.279999732971191
2021-09-16,12.399999618530273
2021-09-17,12.380000114440918
2021-09-20,11.979999542236328
2021-09-21,11.720000267028809
2021-09-22,11.720000267028809
2021-09-23,12.079999923706055
2021-09-24,12.460000038146973
2021-09-27,12.380000114440918
2021-09-28,12.479999542236328
2021-09-29,12.5
2021-09-30,12.600000381469727
2021-10-01,13.170000076293945
2021-10-04,13.100000381469727
2021-10-05,13.430000305175781
2021-10-06,13.279999732971191
2021-10-07,13.729999542236328
2021-10-08,13.600000381469727
2021-10-11,13.520000457763672
2021-10-12,13.600000381469727
2021-10-13,13.829999923706055
2021-10-14,13.869999885559082
2021-10-15,13.779999732971191
2021-10-18,14.220000267028809
2021-10-19,13.989999771118164
2021-10-20,13.920000076293945
2021-10-21,13.90999984741211
2021-10-22,14.020000457763672
2021-10-25,14.199999809265137
2021-10-26,14.1899995803833
2021-10-27,14.25
2021-10-28,14.279999732971191
2021-11-01,14.470000267028809
2021-11-02,14.479999542236328
2021-11-03,14.270000457763672
2021-11-04,14.050000190734863
2021-11-05,13.75
2021-11-08,14.630000114440918
2021-11-09,14.5600004196167
2021-11-10,14.40999984741211
2021-11-11,15.050000190734863
2021-11-12,15.069999694824219
2021-11-15,16.049999237060547
2021-11-16,16.5
2021-11-17,17.479999542236328
2021-11-18,17.6200008392334
2021-11-19,18.200000762939453
2021-11-22,19.440000534057617
2021-11-23,19.229999542236328
2021-11-24,18.940000534057617
2021-11-25,19.18000030517578
2021-11-26,19.799999237060547
2021-11-29,19.200000762939453
2021-11-30,19.239999771118164
2021-12-01,18.84000015258789
2021-12-02,18.719999313354492
2021-12-03,18.850000381469727
2021-12-06,18.899999618530273
2021-12-07,18.729999542236328
2021-12-08,18.760000228881836
2021-12-09,18.760000228881836
2021-12-10,19.06999969482422
2021-12-13,18.8700008392334
2021-12-14,18.899999618530273
2021-12-15,18.31999969482422
2021-12-16,18.8700008392334
2021-12-17,17.149999618530273
2021-12-20,17.420000076293945
2021-12-21,16.8799991607666
2021-12-22,16.989999771118164
2021-12-23,17.200000762939453
2021-12-24,17.329999923706055
2021-12-27,18.239999771118164
2021-12-28,18.450000762939453
2021-12-29,18.81999969482422
2021-12-30,18.270000457763672
2021-12-31,18.100000381469727
2022-01-03,18.899999618530273
2022-01-04,19.18000030517578
2022-01-05,17.959999084472656
2022-01-06,18.18000030517578
2022-01-07,18.299999237060547
2022-01-10,17.940000534057617
2022-01-11,17.670000076293945
2022-01-12,17.739999771118164
2022-01-13,17.280000686645508
2022-01-14,17.06999969482422
2022-01-17,17.18000030517578
2022-01-18,16.59000015258789
2022-01-19,16.81999969482422
2022-01-20,16.75
2022-01-21,16.799999237060547
2022-01-24,17.3700008392334
2022-01-25,17.510000228881836
2022-01-26,17.489999771118164
2022-01-27,17.290000915527344
2022-01-28,16.989999771118164
2022-01-31,16.729999542236328
2022-02-01,16.670000076293945
2022-02-02,16.469999313354492
2022-02-03,16.68000030517578
2022-02-04,16.3799991607666
2022-02-07,16.3700008392334
2022-02-08,15.819999694824219
2022-02-09,16.530000686645508
2022-02-10,18.18000030517578
2022-02-11,16.3700008392334
2022-02-14,16.270000457763672
2022-02-15,16.290000915527344
2022-02-16,16.139999389648438
2022-02-17,15.850000381469727
2022-02-18,15.670000076293945
2022-02-21,15.029999732971191
2022-02-22,14.779999732971191
2022-02-23,15.25
2022-02-24,13.729999542236328
2022-02-25,14.579999923706055
2022-02-28,14.380000114440918
2022-03-01,14.59000015258789
2022-03-02,15.0
2022-03-03,15.0
2022-03-04,14.539999961853027
2022-03-07,13.890000343322754
2022-03-08,14.050000190734863
2022-03-09,14.239999771118164
2022-03-10,14.010000228881836
2022-03-11,14.069999694824219
2022-03-14,14.420000076293945
2022-03-15,14.149999618530273
2022-03-16,14.970000267028809
2022-03-17,16.15999984741211
2022-03-18,16.34000015258789
2022-03-21,16.139999389648438
2022-03-22,16.260000228881836
2022-03-23,16.770000457763672
2022-03-24,17.110000610351562
2022-03-25,17.850000381469727
2022-03-28,17.6299991607666
2022-03-29,17.649999618530273
2022-03-30,17.940000534057617
2022-03-31,17.780000686645508
2022-04-01,17.979999542236328
2022-04-04,18.81999969482422
2022-04-05,19.010000228881836
2022-04-06,19.06999969482422
2022-04-07,20.5
2022-04-08,21.700000762939453
2022-04-11,20.8799991607666
2022-04-12,20.920000076293945
2022-04-13,20.5
2022-04-14,19.989999771118164
2022-04-15,19.479999542236328
2022-04-18,19.81999969482422
2022-04-19,20.440000534057617
2022-04-20,21.239999771118164
2022-04-21,22.299999237060547
2022-04-22,21.399999618530273
2022-04-25,21.219999313354492
2022-04-26,20.81999969482422
2022-04-27,20.360000610351562
2022-04-28,20.299999237060547
2022-04-29,20.079999923706055
2022-05-05,20.81999969482422
2022-05-06,20.84000015258789
2022-05-09,21.200000762939453
2022-05-10,21.260000228881836
2022-05-11,20.479999542236328
2022-05-12,20.100000381469727
2022-05-13,21.399999618530273
2022-05-16,21.459999084472656
2022-05-17,21.5
2022-05-18,21.8799991607666
2022-05-20,21.239999771118164
2022-05-23,20.600000381469727
2022-05-24,20.059999465942383
2022-05-25,20.299999237060547
2022-05-26,20.3799991607666
2022-05-27,20.0
2022-05-30,20.5
2022-05-31,20.520000457763672
2022-06-01,20.399999618530273
2022-06-02,20.940000534057617
2022-06-03,20.780000686645508
2022-06-06,20.68000030517578
2022-06-07,20.31999969482422
2022-06-08,19.989999771118164
2022-06-09,20.139999389648438
2022-06-10,20.040000915527344
2022-06-13,20.34000015258789
2022-06-14,20.0
2022-06-15,19.989999771118164
2022-06-16,19.780000686645508
2022-06-17,20.540000915527344
2022-06-20,21.899999618530273
2022-06-21,21.899999618530273
2022-06-22,21.399999618530273
2022-06-23,21.84000015258789
2022-06-24,21.600000381469727
2022-06-27,21.260000228881836
2022-06-28,21.200000762939453
2022-06-29,20.639999389648438
2022-06-30,20.84000015258789
2022-07-01,21.780000686645508
2022-07-04,23.5
2022-07-05,22.940000534057617
2022-07-06,22.079999923706055
2022-07-07,21.799999237060547
2022-07-08,21.959999084472656
2022-07-13,21.18000030517578
2022-07-14,20.860000610351562
2022-07-18,22.200000762939453
2022-07-19,22.780000686645508
2022-07-20,24.31999969482422
2022-07-21,24.040000915527344
2022-07-22,23.700000762939453
2022-07-25,24.15999984741211
2022-07-26,25.0
2022-07-27,25.799999237060547
2022-07-28,25.3799991607666
2022-07-29,25.700000762939453
